"My Reference",English,Translation
"// Code Passed: uif / wuf"
issue-uif-head,"User Creation Failed","User Creation Failed"
issue-uif,"An issue occurred, and your profile failed to activate fully. We have been notified and will look into this for you.","An issue occurred, and your profile failed to activate fully. We have been notified and will look into this for you."

"// Code Passed: paa"
issue-paa-head,"Profile Already Activated","Profile Already Activated"
issue-paa,"Your profile is already activated; click [LOGIN-URL] to login.","Your profile is already activated; click [LOGIN-URL] to login."

"// Code Passed: ev"
issue-ev-head,"Email Verification","Email Verification"
issue-ev,"You need to verify your email address; check your email inbox.","You need to verify your email address; check your email inbox."

"// Code Passed: ns"
issue-ns-head,"Issue Detected","Issue Detected"
issue-ns,"We have been notified of this issue and will look into it.","We have been notified of this issue and will look into it."

"// Code Passed: nf"
issue-nf-head,"Registration Not Found","Registration Not Found"
issue-nf,"Please check the link in your email is not broken, as we are unable to find your registration.","Please check the link in your email is not broken, as we are unable to find your registration."

"// Code Passed: ban"
issue-ban-head,"Profile Banned","Profile Banned"
issue-ban,"Your profile is currently banned.","Your profile is currently banned."

"// Dashboards"
acc,Account,Account
dash,Dashboard,Dashboard
dash-acc,"Account Dashboard","Account Dashboard"
dash-buy,"Buyer Dashboard","Buyer Dashboard"
dash-sup,"Supplier Dashboard","Supplier Dashboard"
dash-ser,"Service Dashboard","Service Dashboard"

"// Verification - KYC"
kyc-ver,Verified,Verified
kyc-ver-req,"Verification Required","Verification Required"
kyc-ver-wai,"Waiting Approval","Waiting Approval"
kyc-ver-rej,"Rejected, Check your Details","Rejected, Check your Details"
kyc-ver-ban,"Access Denied","Access Denied"
kyc-req,Requirements,Requirements
kyc-req-txt,"Due to government regulations, you are required to be 18 years or older. You will need to supply identification for age and verification of your identity.","Due to government regulations, you are required to be 18 years or older. You will need to supply identification for age and verification of your identity."

"// Ethereum"
eth-add,"Ethereum Address","Ethereum Address"

"// Common"
com-save,Save,Save
com-edit,Edit,Edit
com-sub,Submit,Back
com-sub,Back,Back

"// User Profile"
user-nf,"User Account Not Found","User Account Not Found"
